r_kpc,v_km_s,a_m_s2
47.300000000000004,217.09741077150238,996.4331028264362
47.400000000000006,216.89992027316845,992.5226880697642
47.50000000000001,216.7028848070029,988.6345322879403
47.6,216.50630294949016,984.7684709423617
47.7,216.3101732826598,980.924340997365
47.800000000000004,216.11449439405823,977.1019809037535
47.900000000000006,215.9192648767193,973.3012305825233
48.00000000000001,215.724483329136,969.5219314088057
48.1,215.5301483552322,965.7639261960167
48.2,215.33625856433437,962.0270591802047
48.300000000000004,215.14281257114376,958.3111760046022
48.400000000000006,214.94980899570896,954.6161237043751
48.50000000000001,214.75724646339827,950.9417506915626
48.6,214.56512360487258,947.2879067402108
48.7,214.37343905605834,943.6544429716953
48.800000000000004,214.18219145812103,940.0412118402296
48.900000000000006,213.99137945743837,936.4480671185556
49.00000000000001,213.8010017055741,932.8748638838141
49.1,213.6110568592519,929.3214585035956
49.2,213.42154358032937,925.7877086221631
49.300000000000004,213.23246053577233,922.2734731468499
49.400000000000006,213.0438063976295,918.7786122346283
49.50000000000001,212.85557984300692,915.3029872788421
49.6,212.667779554043,911.8464608961094
49.7,212.4804042178836,908.4088969133844
49.800000000000004,212.29345252665712,904.990160355181
49.900000000000006,212.1069231774503,901.5901174309579
50.00000000000001,211.92081487228356,898.2086355226535
50.1,211.73512631808688,894.8455831723793
50.2,211.54985622667584,891.5008300702632
50.300000000000004,211.36500331472809,888.1742470424455
50.400000000000006,211.18056630375918,884.8657060392147
50.50000000000001,210.99654392009953,881.5750801232966
50.6,210.81293489487103,878.3022434582832
50.7,210.6297379639639,875.047071297201
50.800000000000004,210.4469518680137,871.8094399712219
50.900000000000006,210.2645753523788,868.5892268785105
51.00000000000001,210.08260716711752,865.3863104732042
51.1,209.90104606696576,862.2005702545299
51.2,209.71989081131483,859.031886756051
51.300000000000004,209.5391401641892,855.8801415350433
51.400000000000006,209.35879289422468,852.745217162001
51.50000000000001,209.17884777464639,849.6269972102656
51.6,208.99930358324747,846.5253662457836
51.7,208.8201591023672,843.4402098169816
51.800000000000004,208.64141311887002,840.371414444768
51.900000000000006,208.46306442412407,837.3188676126492
52.00000000000001,208.28511181398022,834.2824577569661
52.1,208.10755408875144,831.2620742572477
52.2,207.9303900531915,828.2576074266735
52.300000000000004,207.75361851647486,825.268948502657
52.400000000000006,207.57723829217602,822.2959896375347
52.50000000000001,207.40124819824925,819.3386238893673
52.6,207.22564705700833,816.3967452128476
52.7,207.05043369510648,813.4702484503165
52.800000000000004,206.8756069435166,810.5590293228857
52.900000000000006,206.7011656375114,807.6629844216619
53.00000000000001,206.5271086166437,804.7820111990742
53.1,206.35343472472712,801.9160079603054
53.2,206.1801428098164,799.0648738548174
53.300000000000004,206.00723172418847,796.2285088679829
53.400000000000006,205.83470032432308,793.4068138128068
53.50000000000001,205.66254747088388,790.5996903217488
53.6,205.4907720286996,787.8070408386379
53.7,205.31937286674528,785.0287686106811
53.800000000000004,205.14834885812365,782.2647776805651
53.900000000000006,204.97769888004643,779.5149728786454
54.00000000000001,204.80742181381638,776.7792598152315
54.1,204.63751654480853,774.0575448729536
54.2,204.4679819624524,771.3497351992206
54.300000000000004,204.29881696021377,768.6557386987647
54.400000000000006,204.1300204355769,765.9754640262693
54.50000000000001,203.96159129002658,763.3088205790797
54.6,203.79352842903052,760.6557184900013
54.7,203.62583076202174,758.016068620174
54.800000000000004,203.45849720238115,755.3897825520316
54.900000000000006,203.29152666742024,752.7767725823394
55.00000000000001,203.12491807836355,750.1769517153072
55.1,202.95867036033184,747.5902336557865
55.2,202.79278244232495,745.0165328025387
55.300000000000004,202.62725325720476,742.4557642415803
55.400000000000006,202.46208174167856,739.9078437396051
55.50000000000001,202.2972668362821,737.3726877374759
55.6,202.1328074853631,734.8502133437925
55.7,201.96870263706475,732.3403383285294
55.800000000000004,201.80495124330918,729.8429811167454
55.900000000000006,201.6415522597812,727.3580607823626
56.00000000000001,201.4785046459121,724.8854970420147
56.1,201.31580736486353,722.4252102489633
56.2,201.15345938351126,719.9771213870803
56.300000000000004,200.99145967242956,717.5411520649001
56.400000000000006,200.82980720587517,715.1172245097338
56.50000000000001,200.66850096177157,712.7052615618497
56.6,200.50753992169336,710.3051866687184
56.7,200.34692307085058,707.9169238793179
56.800000000000004,200.18664939807354,705.5403978385073
56.900000000000006,200.02671789579705,703.1755337814546
57.00000000000001,199.86712756004536,700.8222575281304
57.1,199.70787739041694,698.4804954778599
57.2,199.5489663900693,696.1501746039337
57.300000000000004,199.39039356570387,693.8312224482771
57.400000000000006,199.2321579275515,691.5235671161815
57.50000000000001,199.0742584893569,689.2271372710832
57.6,198.91669426836452,686.9418621294097
57.7,198.7594642853034,684.667671455473
57.800000000000004,198.6025675643729,682.4044955564239
57.900000000000006,198.44600313322783,680.152265277255
58.00000000000001,198.28977002296443,677.9109119958641
58.1,198.13386726810563,675.6803676181635
58.2,197.9782939065869,673.4605645732458
58.300000000000004,197.82304897974223,671.2514358086019
58.400000000000006,197.6681315322897,669.0529147853865
58.50000000000001,197.51354061231757,666.8649354737371
58.6,197.3592752712705,664.687432348142
58.7,197.20533456393534,662.5203403828564
58.800000000000004,197.05171754842738,660.3635950473673
58.900000000000006,196.89842328617692,658.2171323019098
59.00000000000001,196.74545084191524,656.0808885930251
59.1,196.59279928366124,653.9548008491694
59.2,196.44046768270775,651.8388064763673
59.300000000000004,196.28845511360817,649.7328433539118
59.400000000000006,196.13676065416325,647.6368498301098
59.50000000000001,195.98538338540752,645.55076471807
59.6,195.8343223915962,643.4745272915376
59.7,195.68357676019215,641.4080772807707
59.800000000000004,195.5331455818525,639.3513548684602
59.900000000000006,195.383027950416,637.3043006856933
60.00000000000001,195.23322296288976,635.2668558079571
60.1,195.0837297194365,633.2389617511838
60.2,194.93454732336176,631.22056046784
60.300000000000004,194.78567488110113,629.211594343052
60.400000000000006,194.63711150220757,627.2120061907746
60.50000000000001,194.4888562993388,625.2217392499977
60.6,194.34090838824486,623.240737180993
60.7,194.19326688775524,621.2689440615969
60.800000000000004,194.04593091976704,619.3063043835363
60.900000000000006,193.8988996092322,617.3527630487865
61.00000000000001,193.75217208414534,615.4082653659715
61.1,193.60574747553162,613.4727570467973
61.2,193.45962491743444,611.5461842025231
61.300000000000004,193.31380354690342,609.6284933404692
61.400000000000006,193.16828250398228,607.7196313605587
61.50000000000001,193.02306093169705,605.8195455518965
61.6,192.8781379760439,603.9281835893803
61.7,192.73351278597744,602.045493530349
61.800000000000004,192.589184513399,600.1714238112629
61.900000000000006,192.4451523131447,598.3059232444177
